Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
189-85-7912,C,Naypyitaw,Member,Male,Fashion accessories,34.75,4,6.95,145.95,01/14/2019,20:47,Credit card,139.0,4.761905,6.95,4.8
529-38-8359,A,Yangon,Member,Male,Electronic accessories,30.94,10,15.47,324.87,01/26/2019,20:44,Credit card,309.4,4.761905,15.47,4.2
489-22-6881,C,Naypyitaw,Normal,Male,Electronic accessories,72.83,6,21.849,458.829,01/28/2019,15:06,Ewallet,436.98,4.761905,21.849,5.7
949-90-6925,B,Mandalay,Normal,Male,Fashion accessories,51.35,2,5.135,107.835,02/18/2019,11:35,Cash,102.7,4.761905,5.135,9.8
564-91-6977,C,Naypyitaw,Member,Male,Health and beauty,69.51,5,17.3775,364.9275,01/30/2019,11:24,Cash,347.55,4.761905,17.3775,9.9
267-69-7216,A,Yangon,Normal,Female,Electronic accessories,70.32,2,7.032,147.672,01/22/2019,18:46,Ewallet,140.64,4.761905,7.032,7.7
680-50-4483,B,Mandalay,Member,Female,Health and beauty,30.61,1,1.5305,32.1405,02/21/2019,14:04,Ewallet,30.61,4.761905,1.5305,8.8
698-64-7543,C,Naypyitaw,Normal,Female,Fashion accessories,51.3,5,12.825,269.325,03/13/2019,18:16,Credit card,256.5,4.761905,12.825,4.8
532-86-2040,B,Mandalay,Member,Male,Food and beverages,54.42,1,2.721,57.141,01/20/2019,20:10,Credit card,54.42,4.761905,2.721,9.2
798-78-5371,B,Mandalay,Normal,Female,Food and beverages,32.63,9,14.6835,308.3535,01/02/2019,20:46,Ewallet,293.67,4.761905,14.6835,9.2
619-23-5889,C,Naypyitaw,Normal,Male,Home and lifestyle,49.13,8,19.652,412.692,02/03/2019,18:48,Ewallet,393.04,4.761905,19.652,4.0
600-12-2832,C,Naypyitaw,Member,Male,Home and lifestyle,78.63,9,35.3835,743.0535,03/09/2019,10:38,Cash,707.67,4.761905,35.3835,9.7
878-78-3060,B,Mandalay,Normal,Male,Health and beauty,31.68,10,15.84,332.64,01/11/2019,17:52,Ewallet,316.8,4.761905,15.84,9.7
806-35-6107,A,Yangon,Normal,Male,Home and lifestyle,57.49,10,28.745,603.645,01/28/2019,18:48,Credit card,574.9,4.761905,28.745,6.5
335-85-4608,B,Mandalay,Normal,Female,Food and beverages,50.63,4,10.126,212.646,02/13/2019,10:37,Credit card,202.52,4.761905,10.126,5.3
785-72-4510,A,Yangon,Member,Male,Electronic accessories,16.07,1,0.8035,16.8735,01/10/2019,18:15,Cash,16.07,4.761905,0.8035,9.2
533-62-8651,C,Naypyitaw,Member,Female,Electronic accessories,80.62,7,28.217,592.557,01/13/2019,20:27,Cash,564.34,4.761905,28.217,5.1
649-67-3296,C,Naypyitaw,Member,Male,Health and beauty,46.24,6,13.872,291.312,01/14/2019,13:12,Ewallet,277.44,4.761905,13.872,8.8
653-11-2528,B,Mandalay,Member,Female,Sports and travel,32.48,2,3.248,68.208,03/12/2019,11:03,Credit card,64.96,4.761905,3.248,6.7
371-68-5673,A,Yangon,Member,Female,Sports and travel,53.32,7,18.662,391.902,01/22/2019,16:00,Cash,373.24,4.761905,18.662,9.4
158-16-8811,B,Mandalay,Normal,Male,Electronic accessories,36.7,1,1.835,38.535,03/11/2019,10:47,Cash,36.7,4.761905,1.835,7.5
513-25-5033,C,Naypyitaw,Member,Male,Food and beverages,17.21,3,2.5815,54.2115,01/09/2019,20:55,Ewallet,51.63,4.761905,2.5815,4.4
421-40-5351,C,Naypyitaw,Member,Male,Sports and travel,69.16,10,34.58,726.18,02/03/2019,13:42,Credit card,691.6,4.761905,34.58,7.1
650-37-9288,B,Mandalay,Member,Female,Sports and travel,38.46,2,3.846,80.766,03/21/2019,19:06,Ewallet,76.92,4.761905,3.846,4.1
726-93-9666,B,Mandalay,Member,Female,Health and beauty,89.13,6,26.739,561.519,02/26/2019,18:45,Cash,534.78,4.761905,26.739,5.7
315-53-4335,A,Yangon,Normal,Male,Electronic accessories,33.8,2,3.38,70.98,01/20/2019,14:18,Credit card,67.6,4.761905,3.38,8.5
